證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
813	世茂集團	世茂集团
814	北京京客隆	北京京客隆
815	中國白銀集團	中国白银集团
816	金茂服務	金茂服务
817	中國金茂	中国金茂
818	高陽科技	高阳科技
819	天能動力	天能动力
821	匯盈控股	汇盈控股
822	嘉瑞國際	嘉瑞国际
823	領展房產基金	领展房产基金
825	新世界百貨中國	新世界百货中国
826	天工國際	天工国际
827	玖源集團	玖源集团
828	王朝酒業	王朝酒业
829	神冠控股	神冠控股
830	中國建築興業	中国建筑兴业
831	利亞零售	利亚零售
832	建業地產	建业地产
833	華訊	华讯
834	康大食品	康大食品
836	華潤電力	华润电力
837	譚木匠	谭木匠
838	億和控股	亿和控股
839	中教控股	中教控股
840	天業節水	天业节水
841	木薯資源	木薯资源
842	理士國際	理士国际
844	廣泰國際控股	广泰国际控股
845	恒盛地產	恒盛地产
846	明發集團	明发集团
848	茂業國際	茂业国际
851	盛源控股	盛源控股
852	海峽石油化工	海峡石油化工
853	微創醫療	微创医疗
854	威雅利	威雅利
855	中國水務	中国水务
856	偉仕佳杰	伟仕佳杰
857	中國石油股份	中国石油股份
858	精優藥業	精优药业
859	中昌國際控股	中昌国际控股
860	APOLLO出行	APOLLO出行
861	神州控股	神州控股
862	遠見控股	远见控股
863	OSL集團	OSL集团
864	永利地產發展	永利地产发展
865	建德國際控股	建德国际控股
866	中國秦發	中国秦发
867	康哲藥業	康哲药业
868	信義玻璃	信义玻璃
869	彩星玩具	彩星玩具
871	中國疏浚環保	中国疏浚环保
873	世茂服務	世茂服务
874	白雲山	白云山
875	從玉智農	从玉智农
876	佳兆業健康	佳兆业健康
878	金朝陽集團	金朝阳集团
880	澳博控股	澳博控股
881	中升控股	中升控股
882	天津發展	天津发展
883	中國海洋石油	中国海洋石油
884	旭輝控股集團	旭辉控股集团
887	英皇鐘錶珠寶	英皇钟表珠宝
888	鏈信控股	链信控股
889	連達科技控股	连达科技控股
893	中國鐵鈦	中国铁钛
894	萬裕科技	万裕科技
895	東江環保	东江环保
896	興勝創建	兴胜创建
897	位元堂	位元堂
898	萬事昌國際	万事昌国际
899	中加國信	中加国信
900	AEON CREDIT	AEON CREDIT
902	華能國際電力股份	华能国际电力股份
905	胡桃資本	胡桃资本
907	高雅光學	高雅光学
909	明源雲	明源云
910	中國三迪	中国三迪
911	前海健康	前海健康
912	信佳國際	信佳国际
913	港灣數字	港湾数字
914	海螺水泥	海螺水泥
915	道和環球	道和环球
916	龍源電力	龙源电力
917	趣致集團	趣致集团
918	龍翼航空科技	龙翼航空科技
919	現代健康科技	现代健康科技
921	海信家電	海信家电
922	安賢園中國	安贤园中国
923	綜合環保集團	综合环保集团
924	坤集團	坤集团
926	碧生源	碧生源
927	富士高實業	富士高实业
928	帝王國際投資	帝王国际投资
929	國際精密	国际精密
931	中國港能	中国港能
932	順騰國際控股	顺腾国际控股
933	非凡領越	非凡领越
934	中石化冠德	中石化冠德
936	佳兆業資本	佳兆业资本
938	民生國際	民生国际
939	建設銀行	建设银行
941	中國移動	中国移动
943	中證國際	中证国际
945	宏利金融-S	宏利金融-S
947	摩比發展	摩比发展
948	阿爾法企業	阿尔法企业
950	李氏大藥廠	李氏大药厂
951	超威動力	超威动力
952	華富建業金融	华富建业金融
953	邵氏兄弟控股	邵氏兄弟控股
954	常茂生物	常茂生​​物
956	新天綠色能源	新天绿色能源
959	世紀娛樂國際	世纪娱乐国际
960	龍湖集團	龙湖集团
966	中國太平	中国太平
968	信義光能	信义光能
969	華聯國際	华联国际
970	新耀萊	新耀莱
974	中國順客隆	中国顺客隆
975	MONGOL MINING	MONGOL MINING
976	齊合環保	齐合环保
978	招商局置地	招商局置地
979	綠色能源科技集團	绿色能源科技集团
980	聯華超市	联华超市
981	中芯國際	中芯国际
983	瑞安建業	瑞安建业
984	永旺	永旺
986	杜甫酒業集團	杜甫酒业集团
987	中國再生能源投資	中国再生能源投资
989	中國長白山國際	中国长白山国际
990	至源控股	至源控股
991	大唐發電	大唐发电
992	聯想集團	联想集团
993	信控國際資本	信控国际资本
994	中天宏信	中天宏信
995	安徽皖通高速公路	安徽皖通高速公路
997	普匯中金國際	普汇中金国际
998	中信銀行	中信银行
999	小菜園	小菜园
1000	北青傳媒	北青传媒
1001	滬港聯合	沪港联合
1002	威鋮國際	威铖国际
1003	歡喜傳媒	欢喜传媒
1004	中國智慧能源	中国智慧能源
1005	MATRIX HOLDINGS	MATRIX HOLDINGS
1007	龍輝國際控股	龙辉国际控股
1008	力圖控股	力图控股
1009	國際娛樂	国际娱乐
1010	天璽曜11	天玺曜11
1011	泰凌醫藥	泰凌医药
1013	偉俊集團控股	伟俊集团控股
1020	中細軟科技	中细软科技
1022	飛魚科技	飞鱼科技
1023	時代集團控股	时代集团控股
1024	快手-W	快手-W
1025	嘉藝控股	嘉艺控股
1026	環球實業科技	环球实业科技
1027	中國集成控股	中国集成控股
1028	千百度	千百度
1029	鐵貨	铁货
1030	新城發展	新城发展
1033	中石化油服	中石化油服
1036	萬科海外	万科海外
1037	雲智匯科技	云智汇科技
1038	長江基建集團	长江基建集团
1039	暢由國際集團	畅由国际集团
1044	恒安國際	恒安国际
1045	亞太衛星	亚太卫星
1046	寰宇娛樂文化	寰宇娱乐文化
1047	毅興行	毅兴行
1049	時富投資	时富投资
1050	嘉利國際	嘉利国际
1051	國際資源	国际资源
1052	越秀交通基建	越秀交通基建
1053	重慶鋼鐵股份	重庆钢铁股份
1055	中國南方航空股份	中国南方航空股份
1057	浙江世寶	浙江世宝
1058	南粵控股	南粤控股
1059	看通集團	看通集团
1060	大麥娛樂	大麦娱乐
1061	億勝生物科技	亿胜生物科技
1062	國開國際投資	国开国际投资
1063	新確科技	新确科技
1064	中華國際	中华国际
1065	天津創業環保股份	天津创业环保股份
1066	威高股份	威高股份
1068	雨潤食品	雨润食品
1069	中國健康科技集團	中国健康科技集团
1070	TCL電子	TCL电子
