337	BOKF	BOK Financial Corporation	8.01B	132.12	-2.55%	2.17B
338	CPB	The Campbell's Company	7.99B	26.79	0.90%	10.16B
339	MBLY	Mobileye Global Inc.	7.97B	9.80	-6.76%	1.89B
340	PCTY	Paylocity Holding Corporation	7.93B	145.86	-1.05%	1.64B
341	LLYVK	Liberty Live Holdings, Inc.	7.91B	86.11	5.20%	11.22M
342	APPF	AppFolio, Inc.	7.88B	219.43	-1.37%	906.29M
343	VFS	VinFast Auto Ltd.	7.86B	3.360	-2.61%	2.55B
344	CBSH	Commerce Bancshares, Inc.	7.84B	53.21	-2.24%	1.71B
345	GRFS	Grifols, S.A.	7.81B	9.22	1.21%	8.82B
346	FRHC	Freedom Holding Corp.	7.77B	127.00	0.06%	1.56B
347	CYTK	Cytokinetics, Incorporated	7.75B	63.41	-2.34%	87.21M
348	RGTI	Rigetti Computing, Inc.	7.74B	23.45	-6.05%	7.49M
349	AAON	AAON, Inc.	7.70B	94.46	-2.20%	1.32B
350	BRKR	Bruker Corporation	7.65B	50.33	-3.42%	3.44B
351	LLYVA	Liberty Live Holdings, Inc.	7.61B	84.02	4.87%	11.22M
352	MASI	Masimo Corporation	7.60B	141.46	-1.72%	2.18B
353	WING	Wingstop Inc.	7.54B	271.39	1.13%	682.98M
354	QRVO	Qorvo, Inc.	7.48B	80.91	-0.83%	3.66B
355	SMTC	Semtech Corporation	7.45B	80.52	0.50%	1.03B
356	FCFS	FirstCash Holdings, Inc.	7.39B	167.43	-2.65%	3.49B
357	MIDD	The Middleby Corporation	7.37B	146.37	-2.24%	3.88B
358	MTCH	Match Group, Inc.	7.34B	31.08	-1.40%	3.47B
359	FSV	FirstService Corporation	7.28B	160.03	0.08%	5.48B
360	ENLT	Enlight Renewable Energy Ltd	7.28B	55.92	3.71%	457.76M
361	LFUS	Littelfuse, Inc.	7.23B	290.35	-3.32%	2.32B
362	DUOL	Duolingo, Inc.	7.21B	155.98	1.48%	964.27M
363	HQY	HealthEquity, Inc.	7.19B	84.11	-2.67%	1.29B
364	CHDN	Churchill Downs Incorporated	7.15B	102.52	-0.35%	2.88B
